,question,answer
0,What’s the crowd flow like in Gangnam during Noon hour?,"The requested Noon hour congestion in Gangnam is 
상선 :12:00 - 119.2, 12:30 - 102.4, 13:00 - 71.0, 13:30 - 110.2, 14:00 - 114.3, 14:30 - 90.8. mean congestion is 101.3. This time period is crowded, so we recommend visiting during a different time.
하선 :12:00 - 16.8, 12:30 - 40.2, 13:00 - 79.6, 13:30 - 72.2, 14:00 - 4.2, 14:30 - 33.9. mean congestion is 41.2. This time period is not busy, so it's a good time to visit.
"
1,How crowded is Gangnam usually at Lunchtime rush?,"The requested Lunchtime rush congestion in Gangnam is 
내선 :12:00 - 74.6, 12:30 - 31.0, 13:00 - 117.3, 13:30 - 123.1, 14:00 - 79.6, 14:30 - 123.8. mean congestion is 91.6. This time period is crowded, so we recommend visiting during a different time.
외선 :12:00 - 48.8, 12:30 - 35.8, 13:00 - 72.7, 13:30 - 91.5, 14:00 - 78.1, 14:30 - 66.8. mean congestion is 65.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
2,How busy is Myeongdong around Midday?,"The requested Midday congestion in Myeongdong is 
내선 :12:00 - 7.0, 12:30 - 122.2, 13:00 - 24.8, 13:30 - 13.6, 14:00 - 29.7, 14:30 - 24.0. mean congestion is 36.9. This time period is not busy, so it's a good time to visit.
외선 :12:00 - 8.3, 12:30 - 5.9, 13:00 - 35.3, 13:30 - 110.0, 14:00 - 27.6, 14:30 - 99.5. mean congestion is 47.8. This time period is not busy, so it's a good time to visit.
"
3,Is Hongdea packed around Afternoon peak?,"The requested Afternoon peak congestion in Hongdea is 
상선 :17:00 - 102.6, 17:30 - 3.8, 18:00 - 65.9, 18:30 - 100.3, 19:00 - 93.4, 19:30 - 47.6. mean congestion is 68.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :17:00 - 4.9, 17:30 - 66.4, 18:00 - 129.8, 18:30 - 17.4, 19:00 - 103.3, 19:30 - 54.4. mean congestion is 62.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
4,How full does Hongdea get during Twilight commute?,"The requested Twilight commute congestion in Hongdea is 
내선 :17:00 - 58.5, 17:30 - 74.7, 18:00 - 96.3, 18:30 - 36.2, 19:00 - 16.7, 19:30 - 89.2. mean congestion is 61.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :17:00 - 57.6, 17:30 - 101.1, 18:00 - 58.8, 18:30 - 102.1, 19:00 - 103.1, 19:30 - 40.2. mean congestion is 77.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
5,How busy is Hongdea around Evening peak?,"The requested Evening peak congestion in Hongdea is 
내선 :17:00 - 114.9, 17:30 - 9.8, 18:00 - 82.0, 18:30 - 9.7, 19:00 - 60.6, 19:30 - 123.9. mean congestion is 66.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :17:00 - 99.0, 17:30 - 52.5, 18:00 - 129.2, 18:30 - 59.1, 19:00 - 11.8, 19:30 - 108.8. mean congestion is 76.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
6,How much foot traffic does Gangnam have at Lunchtime?,"The requested Lunchtime congestion in Gangnam is 
내선 :12:00 - 17.8, 12:30 - 109.0, 13:00 - 102.1, 13:30 - 129.4, 14:00 - 77.9, 14:30 - 48.6. mean congestion is 80.8. This time period is crowded, so we recommend visiting during a different time.
외선 :12:00 - 90.3, 12:30 - 23.2, 13:00 - 52.9, 13:30 - 87.9, 14:00 - 113.9, 14:30 - 61.4. mean congestion is 71.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
7,What’s the crowd flow like in Hongdea during Dinnertime bustle?,"The requested Dinnertime bustle congestion in Hongdea is 
내선 :17:00 - 118.9, 17:30 - 13.0, 18:00 - 124.7, 18:30 - 109.3, 19:00 - 108.8, 19:30 - 14.5. mean congestion is 81.5. This time period is crowded, so we recommend visiting during a different time.
외선 :17:00 - 36.4, 17:30 - 123.9, 18:00 - 88.5, 18:30 - 1.7, 19:00 - 46.6, 19:30 - 45.8. mean congestion is 57.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
8,Is Hongdea busy around Sunset hours?,"The requested Sunset hours congestion in Hongdea is 
내선 :17:00 - 12.2, 17:30 - 114.1, 18:00 - 14.9, 18:30 - 67.9, 19:00 - 61.3, 19:30 - 11.6. mean congestion is 47.0. This time period is not busy, so it's a good time to visit.
외선 :17:00 - 108.0, 17:30 - 56.1, 18:00 - 83.6, 18:30 - 37.5, 19:00 - 9.8, 19:30 - 123.9. mean congestion is 69.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
9,How crowded is Gangnam usually at Late afternoon?,"The requested Late afternoon congestion in Gangnam is 
내선 :12:00 - 32.0, 12:30 - 34.9, 13:00 - 43.3, 13:30 - 117.2, 14:00 - 96.0, 14:30 - 118.3. mean congestion is 73.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 33.1, 12:30 - 2.2, 13:00 - 69.5, 13:30 - 96.1, 14:00 - 60.4, 14:30 - 86.4. mean congestion is 58.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
10,What’s the crowd flow like in Gangnam during Morning hustle?,"The requested Morning hustle congestion in Gangnam is 
내선 :7:00 - 73.3, 7:30 - 115.2, 8:00 - 50.0, 8:30 - 12.4, 9:00 - 53.9, 9:30 - 77.6. mean congestion is 63.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 41.3, 7:30 - 75.4, 8:00 - 128.6, 8:30 - 22.7, 9:00 - 118.5, 9:30 - 112.4. mean congestion is 83.1. This time period is crowded, so we recommend visiting during a different time.
"
