,question,answer
0,What’s the Sunset hours traffic like in GangNam?,"The requested Sunset hours congestion in GangNam is 16:00 - 0.64, 17:00 - 1.35, 18:00 - 1.43, 19:00 - 0.59, 20:00 - 0.14. mean congestion is 0.83. This time frame is crowded, so we recommend visiting during a different time."
1,What’s the people flow in MyeongDong around Peak travel time?,"The requested Peak travel time congestion in MyeongDong is 7:00 - 1.03, 8:00 - 1.33, 9:00 - 0.75, 16:00 - 1.2, 17:00 - 0.86, 18:00 - 0.86, 19:00 - 1.37, 20:00 - 1.0. mean congestion is 1.05. This time frame is crowded, so we recommend visiting during a different time."
2,What’s the Pre-dawn traffic like in GangNam?,"The requested Pre-dawn congestion in GangNam is 5:00 - 0.65, 6:00 - 1.43. mean congestion is 1.04. This time frame is crowded, so we recommend visiting during a different time."
3,What’s the Late afternoon traffic like in HongDea?,"The requested Late afternoon congestion in HongDea is 13:00 - 0.49, 14:00 - 0.06, 15:00 - 0.02. mean congestion is 0.19. This time frame is smooth, so there is no issue with visiting."
4,What’s the foot traffic in MyeongDong during Sunset hours?,"The requested Sunset hours congestion in MyeongDong is 16:00 - 0.62, 17:00 - 0.91, 18:00 - 0.86, 19:00 - 1.4, 20:00 - 0.8. mean congestion is 0.92. This time frame is crowded, so we recommend visiting during a different time."
5,How are the crowds in HongDea at Early bird hours?,"The requested Early bird hours congestion in HongDea is 7:00 - 0.29, 8:00 - 0.96, 9:00 - 0.88. mean congestion is 0.71. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
6,What’s the population density in MyeongDong around Evening rush?,"The requested Evening rush congestion in MyeongDong is 16:00 - 1.11, 17:00 - 0.54, 18:00 - 1.09, 19:00 - 0.59, 20:00 - 0.42. mean congestion is 0.75. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
7,How full does HongDea get during Dinner time?,"The requested Dinner time congestion in HongDea is 16:00 - 0.81, 17:00 - 0.27, 18:00 - 0.54, 19:00 - 0.65, 20:00 - 0.01. mean congestion is 0.46. This time frame is smooth, so there is no issue with visiting."
8,What’s the population density in MyeongDong around Peak travel time?,"The requested Peak travel time congestion in MyeongDong is 7:00 - 1.33, 8:00 - 1.31, 9:00 - 0.9, 16:00 - 0.79, 17:00 - 0.72, 18:00 - 0.12, 19:00 - 1.38, 20:00 - 0.78. mean congestion is 0.92. This time frame is crowded, so we recommend visiting during a different time."
9,What’s the Late afternoon traffic like in MyeongDong?,"The requested Late afternoon congestion in MyeongDong is 13:00 - 0.7, 14:00 - 0.66, 15:00 - 1.5. mean congestion is 0.95. This time frame is crowded, so we recommend visiting during a different time."
